bulletin_date,municipality,count,percent
2020-04-29,"Adjuntas",3,0.4
2020-04-29,"Aguada",6,0.7
2020-04-29,"Aguadilla",11,1.3
2020-04-29,"Aguas Buenas",12,1.4
2020-04-29,"Aibonito",4,0.5
2020-04-29,"Añasco",3,0.4
2020-04-29,"Arecibo",14,1.7
2020-04-29,"Arroyo",1,0.1
2020-04-29,"Barranquitas",2,0.2
2020-04-29,"Bayamón",42,5.0
2020-04-29,"Cabo Rojo",15,1.8
2020-04-29,"Caguas",39,4.6
2020-04-29,"Camuy",1,0.1
2020-04-29,"Canóvanas",11,1.3
2020-04-29,"Carolina",56,6.7
2020-04-29,"Cataño",6,0.7
2020-04-29,"Cayey",5,0.6
2020-04-29,"Ceiba",6,0.7
2020-04-29,"Cidra",10,1.2
2020-04-29,"Coamo",2,0.2
2020-04-29,"Comerío",2,0.2
2020-04-29,"Corozal",4,0.5
2020-04-29,"Dorado",12,1.4
2020-04-29,"Fajardo",1,0.1
2020-04-29,"Guánica",13,1.5
2020-04-29,"Guayama",3,0.4
2020-04-29,"Guayanilla",3,0.4
2020-04-29,"Guaynabo",58,6.9
2020-04-29,"Gurabo",8,1.0
2020-04-29,"Hatillo",5,0.6
2020-04-29,"Hormigueros",8,1.0
2020-04-29,"Humacao",4,0.5
2020-04-29,"Isabela",8,1.0
2020-04-29,"Jayuya",2,0.2
2020-04-29,"Juana Díaz",9,1.1
2020-04-29,"Juncos",5,0.6
2020-04-29,"Lajas",3,0.4
2020-04-29,"Lares",3,0.4
2020-04-29,"Las Marías",4,0.5
2020-04-29,"Las Piedras",5,0.6
2020-04-29,"Loíza",1,0.1
2020-04-29,"Luquillo",5,0.6
2020-04-29,"Manatí",1,0.1
2020-04-29,"Maunabo",3,0.4
2020-04-29,"Mayagüez",32,3.8
2020-04-29,"Moca",12,1.4
2020-04-29,"Morovis",1,0.1
2020-04-29,"Naguabo",1,0.1
2020-04-29,"Orocovis",5,0.6
2020-04-29,"Patillas",3,0.4
2020-04-29,"Peñuelas",2,0.2
2020-04-29,"Ponce",23,2.7
2020-04-29,"Quebradillas",13,1.5
2020-04-29,"Rincón",2,0.2
2020-04-29,"Rio Grande",8,1.0
2020-04-29,"Sabana Grande",9,1.1
2020-04-29,"Salinas",4,0.5
2020-04-29,"San Germán",16,1.9
2020-04-29,"San Juan",157,18.7
2020-04-29,"San Lorenzo",3,0.4
2020-04-29,"San Sebastián",18,2.1
2020-04-29,"Santa Isabel",2,0.2
2020-04-29,"Toa Alta",21,2.5
2020-04-29,"Toa Baja",20,2.4
2020-04-29,"Trujillo Alto",23,2.7
2020-04-29,"Vega Alta",12,1.4
2020-04-29,"Vega Baja",8,1.0
2020-04-29,"Villalba",5,0.6
2020-04-29,"Yabucoa",3,0.4
2020-04-29,"Yauco",17,2.0
2020-04-29,"Nueva York",5,
2020-04-29,"Nueva Jersey",1,
2020-04-29,"Otro lugar fuera de PR",2,
2020-04-29,"No disponible",108,
2020-04-29,"Total",955,
